bps_id,fips_place,bps_name,county_fips,county_name,geoid,tiger_name,match_method,first_year,last_year,units_2010_ymax,units_2000_ymax
001000,00113,Abingdon,095,Knox County,1700113,Abingdon city,fips_place,2000,2025,2,9
002800,00243,Addison village,043,DuPage County,1700243,Addison village,fips_place,2000,2025,343,1201
004900,00516,Albany village,195,Whiteside County,1700516,Albany village,fips_place,2000,2025,15,52
005200,00555,Albers village,027,Clinton County,1700555,Albers village,fips_place,2000,2025,10,120
006100,00646,Aledo,131,Mercer County,1700646,Aledo city,fips_place,2000,2025,49,148
007000,00672,Alexis village,187,Warren County,1700672,Alexis village,fips_place,2000,2025,1,9
007900,00685,Algonquin village,111,McHenry County,1700685,Algonquin village,fips_place,2000,2025,1527,3957
008500,00737,Alhambra village,119,Madison County,1700737,Alhambra village,fips_place,2000,2025,5,18
009400,00815,Allendale village,185,Wabash County,1700815,Allendale village,fips_place,2000,2025,12,14
009700,00867,Allenville village,139,Moultrie County,1700867,Allenville village,fips_place,2000,2025,0,0
010300,00880,Allerton village,183,Vermilion County,1700880,Allerton village,fips_place,2000,2025,1,2
011500,00919,Alma village,121,Marion County,1700919,Alma village,fips_place,2024,2025,0,0
012100,00971,Alpha village,073,Henry County,1700971,Alpha village,fips_place,2000,2025,0,4
012700,01010,Alsip village,031,Cook County,1701010,Alsip village,fips_place,2000,2025,37,186
013000,01049,Altamont,049,Effingham County,1701049,Altamont city,fips_place,2000,2025,55,106
013900,01114,Alton,119,Madison County,1701114,Alton city,fips_place,2000,2025,106,557
015100,01270,Amboy,103,Lee County,1701270,Amboy city,fips_place,2000,2025,3,49
016300,01361,Anchor village,113,McLean County,1701361,Anchor village,fips_place,2000,2025,0,2
016900,01426,Andalusia village,161,Rock Island County,1701426,Andalusia village,fips_place,2000,2013,10,51
017800,01491,Andover village,073,Henry County,1701491,Andover village,fips_place,2000,2025,9,11
018100,01543,Anna,181,Union County,1701543,Anna city,fips_place,2000,2025,25,85
018400,01569,Annawan town,073,Henry County,1701569,Annawan town,fips_place,2000,2025,5,50
019300,01595,Antioch village,097,Lake County,1701595,Antioch village,fips_place,2000,2025,338,2324
020500,01881,Arcola,041,Douglas County,1701881,Arcola city,fips_place,2000,2025,47,117
021700,01972,Argenta village,115,Macon County,1701972,Argenta village,fips_place,2000,2025,5,17
022300,02154,Arlington Heights village,031,Cook County,1702154,Arlington Heights village,fips_place,2000,2025,1487,2607
022900,02206,Armington village,179,Tazewell County,1702206,Armington village,fips_place,2000,2025,0,1
023200,02258,Aroma Park village,091,Kankakee County,1702258,Aroma Park village,fips_place,2000,2025,8,26
024400,02342,Arrowsmith village,113,McLean County,1702342,Arrowsmith village,fips_place,2000,2025,0,1
025000,02414,Arthur village,041,Douglas County,1702414,Arthur village,fips_place,2000,2025,82,125
026800,02479,Ashkum village,075,Iroquois County,1702479,Ashkum village,fips_place,2000,2025,8,19
027400,02505,Ashland village,017,Cass County,1702505,Ashland village,fips_place,2000,2025,4,20
027700,02531,Ashley,189,Washington County,1702531,Ashley city,fips_place,2000,2025,1,8
028600,02557,Ashmore village,029,Coles County,1702557,Ashmore village,fips_place,2000,2025,2,5
029200,02583,Ashton village,103,Lee County,1702583,Ashton village,fips_place,2000,2025,1,41
029500,02609,Assumption,021,Christian County,1702609,Assumption city,fips_place,2003,2025,6,15
030400,02635,Astoria town,057,Fulton County,1702635,Astoria town,fips_place,2000,2025,7,16
030700,02674,Athens,129,Menard County,1702674,Athens city,fips_place,2000,2025,20,121
031300,02726,Atkinson town,073,Henry County,1702726,Atkinson town,fips_place,2000,2025,13,26
031900,02752,Atlanta,107,Logan County,1702752,Atlanta city,fips_place,2000,2025,8,69
033100,02882,Atwood village,147,Piatt County,1702882,Atwood village,fips_place,2000,2025,8,14
033400,02921,Auburn,167,Sangamon County,1702921,Auburn city,fips_place,2000,2025,46,213
035500,03012,Aurora,089,Kane County,1703012,Aurora city,fips_place,2000,2025,2880,13667
037300,03181,Aviston village,027,Clinton County,1703181,Aviston village,fips_place,2000,2025,195,411
038200,03207,Avon village,057,Fulton County,1703207,Avon village,fips_place,2000,2025,0,0
039700,03454,Baldwin village,157,Randolph County,1703454,Baldwin village,fips_place,2000,2025,1,1
041200,03610,Bannockburn village,097,Lake County,1703610,Bannockburn village,fips_place,2000,2025,20,54
044500,03844,Barrington village,031,Cook County,1703844,Barrington village,fips_place,2000,2025,194,488
043000,03883,Barrington Hills village,031,Cook County,1703883,Barrington Hills village,fips_place,2000,2025,88,326
045100,03948,Barry,149,Pike County,1703948,Barry city,fips_place,2000,2025,13,35
046300,04013,Bartlett village,043,DuPage County,1704013,Bartlett village,fips_place,2000,2025,405,3316
046900,04039,Bartonville village,143,Peoria County,1704039,Bartonville village,fips_place,2000,2025,22,133
047800,04078,Batavia,089,Kane County,1704078,Batavia city,fips_place,2000,2025,783,1943
049000,04156,Bath village,125,Mason County,1704156,Bath village,fips_place,2000,2025,4,12
049300,04273,Bay View Gardens village,203,Woodford County,1704273,Bay View Gardens village,fips_place,2000,2025,24,24
049900,04303,Beach Park village,097,Lake County,1704303,Beach Park village,fips_place,2000,2025,194,1485
051100,04351,Beardstown,017,Cass County,1704351,Beardstown city,fips_place,2000,2025,14,184
052900,04507,Beaverville village,075,Iroquois County,1704507,Beaverville village,fips_place,2000,2025,2,11
053200,04533,Beckemeyer village,027,Clinton County,1704533,Beckemeyer village,fips_place,2000,2025,26,64
053500,04572,Bedford Park village,031,Cook County,1704572,Bedford Park village,fips_place,2000,2025,29,30
054400,04585,Beecher village,197,Will County,1704585,Beecher village,fips_place,2000,2025,173,557
054100,04598,Beecher City village,049,Effingham County,1704598,Beecher City village,fips_place,2013,2025,7,7
054700,04689,Belgium village,183,Vermilion County,1704689,Belgium village,fips_place,2000,2025,3,15
056500,04845,Belleville,163,St. Clair County,1704845,Belleville city,fips_place,2000,2025,512,2149
057100,04871,Bellevue village,143,Peoria County,1704871,Bellevue village,fips_place,2000,2025,93,95
057700,04897,Bellflower village,113,McLean County,1704897,Bellflower village,fips_place,2000,2025,2,2
058300,04975,Bellwood village,031,Cook County,1704975,Bellwood village,fips_place,2000,2025,116,132
058900,05092,Belvidere,007,Boone County,1705092,Belvidere city,fips_place,2000,2025,335,1976
059800,05144,Bement village,147,Piatt County,1705144,Bement village,fips_place,2000,2025,22,39
060100,05209,Benld,117,Macoupin County,1705209,Benld city,fips_place,2002,2025,4,20
061000,05248,Bensenville village,043,DuPage County,1705248,Bensenville village,fips_place,2000,2025,65,259
061300,05261,Benson village,203,Woodford County,1705261,Benson village,fips_place,2000,2025,0,7
061900,05300,Benton,055,Franklin County,1705300,Benton city,fips_place,2000,2025,85,190
062800,05404,Berkeley village,031,Cook County,1705404,Berkeley village,fips_place,2000,2025,10,42
064900,05573,Berwyn,031,Cook County,1705573,Berwyn city,fips_place,2000,2025,61,204
065500,05599,Bethalto village,119,Madison County,1705599,Bethalto village,fips_place,2000,2025,217,608
065800,05612,Bethany village,139,Moultrie County,1705612,Bethany village,fips_place,2000,2025,3,11
068500,05898,Biggsville village,071,Henderson County,1705898,Biggsville village,fips_place,2000,2025,1,6
070000,06171,Bishop Hill village,073,Henry County,1706171,Bishop Hill village,fips_place,2000,2025,2,3
070500,06184,Bismarck village,183,Vermilion County,1706184,Bismarck village,fips_place,2004,2025,9,21
073000,06587,Bloomingdale village,043,DuPage County,1706587,Bloomingdale village,fips_place,2000,2025,286,750
073300,06613,Bloomington,113,McLean County,1706613,Bloomington city,fips_place,2000,2025,2607,8046
074500,06704,Blue Island,031,Cook County,1706704,Blue Island city,fips_place,2000,2025,31,325
075400,06756,Blue Mound village,115,Macon County,1706756,Blue Mound village,fips_place,2000,2025,3,12
076600,,Bluffs village,171,Scott County,1706899,Bluffs village,name,2000,2004,0,0
076900,06964,Bluford village,081,Jefferson County,1706964,Bluford village,fips_place,2000,2025,2,6
077800,07133,Bolingbrook village,197,Will County,1707133,Bolingbrook village,fips_place,2000,2025,1994,7076
079000,07211,Bondville village,019,Champaign County,1707211,Bondville village,fips_place,2000,2025,3,12
079600,07237,Bonfield village,091,Kankakee County,1707237,Bonfield village,fips_place,2000,2025,1,11
079900,07263,Bonnie village,081,Jefferson County,1707263,Bonnie village,fips_place,2002,2025,0,3
082000,07471,Bourbonnais village,091,Kankakee County,1707471,Bourbonnais village,fips_place,2000,2025,454,1520
084400,07640,Braceville village,063,Grundy County,1707640,Braceville village,fips_place,2008,2025,11,13
085600,07744,Bradley village,091,Kankakee County,1707744,Bradley village,fips_place,2000,2025,349,1458
085900,07770,Braidwood,197,Will County,1707770,Braidwood city,fips_place,2000,2025,137,701
086200,07913,Breese,027,Clinton County,1707913,Breese city,fips_place,2000,2025,212,456
088000,08225,Bridgeview village,031,Cook County,1708225,Bridgeview village,fips_place,2000,2025,20,347
088900,08264,Brighton village,117,Macoupin County,1708264,Brighton village,fips_place,2000,2025,58,216
089500,08303,Brimfield village,143,Peoria County,1708303,Brimfield village,fips_place,2000,2025,8,22
090100,08420,Broadlands village,019,Champaign County,1708420,Broadlands village,fips_place,2000,2025,2,11
090400,08446,Broadview village,031,Cook County,1708446,Broadview village,fips_place,2000,2025,70,72
091000,08472,Broadwell village,107,Logan County,1708472,Broadwell village,fips_place,2000,2025,0,6
091300,08524,Brocton village,045,Edgar County,1708524,Brocton village,fips_place,2000,2025,0,0
091900,08576,Brookfield village,031,Cook County,1708576,Brookfield village,fips_place,2000,2025,72,287
093100,08706,Brookport,127,Massac County,1708706,Brookport city,fips_place,2002,2025,6,15
100000,09304,Buckingham village,091,Kankakee County,1709304,Buckingham village,fips_place,2000,2025,2,7
100300,09317,Buckley village,075,Iroquois County,1709317,Buckley village,fips_place,2000,2025,0,10
103000,09434,Buffalo village,167,Sangamon County,1709434,Buffalo village,fips_place,2000,2025,0,0
101800,09447,Buffalo Grove village,097,Lake County,1709447,Buffalo Grove village,fips_place,2000,2025,359,810
103300,09531,Bull Valley village,111,McHenry County,1709531,Bull Valley village,fips_place,2000,2025,20,75
