geoid,year,sf,du,mf34,mf5p,units_total
1700113,2000,1,0,0,0,1
1700113,2001,2,0,0,0,2
1700113,2002,2,0,0,0,2
1700113,2003,0,0,0,0,0
1700113,2004,0,0,0,0,0
1700113,2005,0,0,0,0,0
1700113,2006,0,0,0,0,0
1700113,2007,2,0,0,0,2
1700113,2008,0,0,0,0,0
1700113,2009,0,0,0,0,0
1700113,2010,1,0,0,0,1
1700113,2011,1,0,0,0,1
1700113,2012,0,0,0,0,0
1700113,2013,0,0,0,0,0
1700113,2014,0,0,0,0,0
1700113,2015,0,0,0,0,0
1700113,2016,0,0,0,0,0
1700113,2017,0,0,0,0,0
1700113,2018,0,0,0,0,0
1700113,2019,0,0,0,0,0
1700113,2020,0,0,0,0,0
1700113,2021,0,0,0,0,0
1700113,2022,0,0,0,0,0
1700113,2023,0,0,0,0,0
1700113,2024,0,0,0,0,0
1700113,2025,0,0,0,0,0
1700243,2000,59,0,0,16,75
1700243,2001,66,0,0,36,102
1700243,2002,119,0,0,136,255
1700243,2003,35,0,0,70,105
1700243,2004,32,0,0,20,52
1700243,2005,81,0,0,48,129
1700243,2006,27,0,0,52,79
1700243,2007,29,0,0,5,34
1700243,2008,10,0,0,0,10
1700243,2009,17,0,0,0,17
1700243,2010,1,0,0,0,1
1700243,2011,0,0,0,0,0
1700243,2012,1,0,0,0,1
1700243,2013,3,0,0,0,3
1700243,2014,6,0,0,0,6
1700243,2015,4,0,0,0,4
1700243,2016,3,0,0,0,3
1700243,2017,16,0,0,0,16
1700243,2018,30,0,0,0,30
1700243,2019,28,0,0,0,28
1700243,2020,24,0,3,0,27
1700243,2021,35,0,0,0,35
1700243,2022,41,0,0,5,46
1700243,2023,19,0,4,6,29
1700243,2024,14,0,0,80,94
1700243,2025,4,0,4,12,20
1700516,2000,3,0,0,0,3
1700516,2001,9,0,0,0,9
1700516,2002,0,0,0,0,0
1700516,2003,3,0,0,0,3
1700516,2004,5,0,0,0,5
1700516,2005,5,0,0,0,5
1700516,2006,5,0,0,0,5
1700516,2007,1,2,0,0,3
1700516,2008,2,0,0,0,2
1700516,2009,2,0,0,0,2
1700516,2010,1,0,0,0,1
1700516,2011,0,0,0,0,0
1700516,2012,2,0,0,0,2
1700516,2013,4,0,0,0,4
1700516,2014,2,0,0,0,2
1700516,2015,1,0,0,0,1
1700516,2016,0,0,0,0,0
1700516,2017,2,0,0,0,2
1700516,2018,0,0,0,0,0
1700516,2019,1,0,0,0,1
1700516,2020,0,0,0,0,0
1700516,2021,1,0,0,0,1
1700516,2022,1,0,0,0,1
1700516,2023,0,0,0,0,0
1700516,2024,0,0,0,0,0
1700516,2025,0,0,0,0,0
1700555,2000,13,0,0,0,13
1700555,2001,15,0,0,0,15
1700555,2002,8,0,0,0,8
1700555,2003,9,0,0,0,9
1700555,2004,15,0,0,0,15
1700555,2005,22,0,0,0,22
1700555,2006,13,0,0,0,13
1700555,2007,7,0,0,0,7
1700555,2008,5,0,0,0,5
1700555,2009,3,0,0,0,3
1700555,2010,1,0,0,0,1
1700555,2011,0,0,0,0,0
1700555,2012,1,0,0,0,1
1700555,2013,3,0,0,0,3
1700555,2014,1,0,0,0,1
1700555,2015,0,0,0,0,0
1700555,2016,1,0,0,0,1
1700555,2017,0,0,0,0,0
1700555,2018,0,0,0,0,0
1700555,2019,0,0,0,0,0
1700555,2020,0,0,0,0,0
1700555,2021,1,0,0,0,1
1700555,2022,1,0,0,0,1
1700555,2023,1,0,0,0,1
1700555,2024,0,0,0,0,0
1700555,2025,0,0,0,0,0
1700646,2000,0,2,0,0,2
1700646,2001,1,0,0,0,1
1700646,2002,5,0,0,0,5
1700646,2003,5,0,0,0,5
1700646,2004,5,0,0,0,5
1700646,2005,7,0,0,66,73
1700646,2006,5,0,0,0,5
1700646,2007,2,0,0,0,2
1700646,2008,1,0,0,0,1
1700646,2009,0,0,0,0,0
1700646,2010,1,0,0,0,1
1700646,2011,0,0,0,0,0
1700646,2012,41,0,0,0,41
1700646,2013,0,0,0,0,0
1700646,2014,0,0,0,0,0
1700646,2015,1,0,0,0,1
1700646,2016,0,0,0,0,0
1700646,2017,0,0,0,0,0
1700646,2018,0,0,0,0,0
1700646,2019,0,0,0,0,0
1700646,2020,0,0,0,0,0
1700646,2021,0,0,0,0,0
1700646,2022,0,0,0,0,0
1700646,2023,2,0,0,0,2
1700646,2024,1,0,0,0,1
1700646,2025,3,0,0,0,3
1700672,2000,1,0,0,0,1
1700672,2001,2,0,0,0,2
1700672,2002,1,0,0,0,1
1700672,2003,3,0,0,0,3
1700672,2004,1,0,0,0,1
1700672,2005,0,0,0,0,0
1700672,2006,0,0,0,0,0
1700672,2007,0,0,0,0,0
1700672,2008,0,0,0,0,0
1700672,2009,0,0,0,0,0
1700672,2010,0,0,0,0,0
1700672,2011,0,0,0,0,0
1700672,2012,0,0,0,0,0
1700672,2013,0,0,0,0,0
1700672,2014,0,0,0,0,0
1700672,2015,0,0,0,0,0
1700672,2016,1,0,0,0,1
1700672,2017,0,0,0,0,0
1700672,2018,0,0,0,0,0
1700672,2019,0,0,0,0,0
1700672,2020,0,0,0,0,0
1700672,2021,0,0,0,0,0
1700672,2022,0,0,0,0,0
1700672,2023,0,0,0,0,0
1700672,2024,0,0,0,0,0
1700672,2025,0,0,0,0,0
1700685,2000,387,4,7,0,398
1700685,2001,594,0,0,0,594
1700685,2002,455,0,0,0,455
1700685,2003,220,0,0,0,220
1700685,2004,279,0,8,0,287
1700685,2005,246,0,48,0,294
1700685,2006,119,0,8,0,127
1700685,2007,33,0,0,0,33
1700685,2008,18,0,0,0,18
1700685,2009,4,0,0,0,4
1700685,2010,2,0,0,0,2
1700685,2011,0,0,0,0,0
1700685,2012,0,0,0,220,220
1700685,2013,4,0,0,0,4
1700685,2014,18,0,0,63,81
1700685,2015,24,0,0,186,210
1700685,2016,27,0,0,0,27
1700685,2017,33,0,0,0,33
1700685,2018,86,0,0,0,86
1700685,2019,49,0,0,0,49
1700685,2020,29,0,0,90,119
1700685,2021,105,0,0,0,105
1700685,2022,112,0,0,0,112
1700685,2023,137,0,0,0,137
1700685,2024,178,0,0,0,178
1700685,2025,164,0,0,0,164
1700737,2000,4,0,0,0,4
1700737,2001,0,0,0,0,0
1700737,2002,2,0,0,0,2
1700737,2003,1,0,0,0,1
1700737,2004,1,0,0,0,1
1700737,2005,1,0,0,0,1
1700737,2006,2,0,0,0,2
1700737,2007,0,0,0,0,0
1700737,2008,1,0,0,0,1
1700737,2009,1,0,0,0,1
1700737,2010,1,0,0,0,1
1700737,2011,0,0,0,0,0
1700737,2012,1,0,0,0,1
1700737,2013,0,0,0,0,0
1700737,2014,0,0,0,0,0
1700737,2015,0,0,0,0,0
1700737,2016,0,0,0,0,0
1700737,2017,0,0,0,0,0
1700737,2018,0,0,0,0,0
1700737,2019,0,0,0,0,0
1700737,2020,0,0,0,0,0
1700737,2021,0,0,0,0,0
1700737,2022,0,0,0,0,0
1700737,2023,0,0,0,0,0
1700737,2024,3,0,0,0,3
1700737,2025,0,0,0,0,0
1700815,2000,0,0,0,0,0
1700815,2001,1,0,0,0,1
1700815,2002,0,0,0,0,0
1700815,2003,1,0,0,0,1
1700815,2004,0,0,0,0,0
1700815,2005,0,0,0,0,0
1700815,2006,0,0,0,0,0
1700815,2007,0,0,0,0,0
1700815,2008,0,0,0,0,0
1700815,2009,0,0,0,0,0
1700815,2010,1,0,0,0,1
1700815,2011,1,0,0,0,1
1700815,2012,0,0,0,0,0
1700815,2013,1,0,0,0,1
1700815,2014,0,0,0,0,0
1700815,2015,0,0,0,0,0
1700815,2016,0,0,0,0,0
1700815,2017,0,0,0,0,0
1700815,2018,6,0,0,0,6
1700815,2019,3,0,0,0,3
1700815,2020,0,0,0,0,0
1700815,2021,0,0,0,0,0
1700815,2022,0,0,0,0,0
1700815,2023,0,0,0,0,0
1700815,2024,0,0,0,0,0
1700815,2025,0,0,0,0,0
1700867,2000,0,0,0,0,0
1700867,2001,0,0,0,0,0
1700867,2002,0,0,0,0,0
1700867,2003,0,0,0,0,0
1700867,2004,0,0,0,0,0
1700867,2005,0,0,0,0,0
1700867,2006,0,0,0,0,0
1700867,2007,0,0,0,0,0
1700867,2008,0,0,0,0,0
1700867,2009,0,0,0,0,0
1700867,2010,0,0,0,0,0
1700867,2011,0,0,0,0,0
1700867,2012,0,0,0,0,0
1700867,2013,0,0,0,0,0
1700867,2014,0,0,0,0,0
1700867,2015,0,0,0,0,0
1700867,2016,0,0,0,0,0
1700867,2017,0,0,0,0,0
1700867,2018,0,0,0,0,0
1700867,2019,0,0,0,0,0
1700867,2020,0,0,0,0,0
1700867,2021,0,0,0,0,0
1700867,2022,0,0,0,0,0
1700867,2023,0,0,0,0,0
1700867,2024,0,0,0,0,0
1700867,2025,0,0,0,0,0
1700880,2000,0,0,0,0,0
1700880,2001,0,0,0,0,0
1700880,2002,0,0,0,0,0
1700880,2003,1,0,0,0,1
1700880,2004,0,0,0,0,0
1700880,2005,0,0,0,0,0
1700880,2006,0,0,0,0,0
1700880,2007,0,0,0,0,0
1700880,2008,0,0,0,0,0
1700880,2009,0,0,0,0,0
1700880,2010,0,0,0,0,0
1700880,2011,0,0,0,0,0
1700880,2012,0,0,0,0,0
1700880,2013,1,0,0,0,1
1700880,2014,0,0,0,0,0
1700880,2015,0,0,0,0,0
1700880,2016,0,0,0,0,0
1700880,2017,0,0,0,0,0
1700880,2018,0,0,0,0,0
1700880,2019,0,0,0,0,0
1700880,2020,0,0,0,0,0
1700880,2021,0,0,0,0,0
1700880,2022,0,0,0,0,0
1700880,2023,0,0,0,0,0
1700880,2024,0,0,0,0,0
1700880,2025,0,0,0,0,0
1700919,2024,0,0,0,0,0
1700919,2025,0,0,0,0,0
1700971,2000,1,0,0,0,1
1700971,2001,0,0,0,0,0
1700971,2002,1,0,0,0,1
1700971,2003,0,0,0,0,0
1700971,2004,0,0,0,0,0
1700971,2005,1,0,0,0,1
1700971,2006,1,0,0,0,1
1700971,2007,0,0,0,0,0
1700971,2008,0,0,0,0,0
1700971,2009,0,0,0,0,0
1700971,2010,0,0,0,0,0
1700971,2011,0,0,0,0,0
1700971,2012,0,0,0,0,0
1700971,2013,0,0,0,0,0
1700971,2014,0,0,0,0,0
1700971,2015,0,0,0,0,0
1700971,2016,0,0,0,0,0
1700971,2017,0,0,0,0,0
1700971,2018,0,0,0,0,0
1700971,2019,0,0,0,0,0
1700971,2020,0,0,0,0,0
1700971,2021,0,0,0,0,0
1700971,2022,0,0,0,0,0
1700971,2023,0,0,0,0,0
1700971,2024,0,0,0,0,0
1700971,2025,0,0,0,0,0
1701010,2000,0,2,0,0,2
1701010,2001,2,0,0,20,22
1701010,2002,13,0,0,20,33
1701010,2003,13,0,0,6,19
1701010,2004,18,0,0,0,18
1701010,2005,15,0,16,0,31
1701010,2006,14,0,0,0,14
1701010,2007,8,2,0,0,10
1701010,2008,0,0,0,0,0
1701010,2009,0,0,0,0,0
1701010,2010,2,0,0,0,2
1701010,2011,6,0,0,0,6
1701010,2012,1,0,0,0,1
1701010,2013,0,0,0,0,0
1701010,2014,1,0,0,0,1
1701010,2015,0,0,0,0,0
1701010,2016,0,0,0,0,0
1701010,2017,0,0,0,0,0
1701010,2018,0,0,0,0,0
1701010,2019,0,0,0,0,0
1701010,2020,0,0,0,0,0
1701010,2021,0,0,0,0,0
1701010,2022,6,0,0,0,6
1701010,2023,9,0,0,0,9
1701010,2024,5,0,0,0,5
1701010,2025,7,0,0,0,7
1701049,2000,9,0,0,0,9
1701049,2001,3,0,0,0,3
1701049,2002,3,0,0,0,3
1701049,2003,5,0,0,0,5
1701049,2004,4,0,0,0,4
1701049,2005,6,0,0,0,6
1701049,2006,8,0,0,0,8
1701049,2007,6,0,0,0,6
1701049,2008,0,0,0,0,0
1701049,2009,7,0,0,0,7
1701049,2010,5,0,0,0,5
1701049,2011,2,0,0,0,2
1701049,2012,0,0,0,0,0
1701049,2013,1,0,0,0,1
1701049,2014,3,0,0,0,3
1701049,2015,0,0,0,0,0
1701049,2016,2,0,0,0,2
1701049,2017,1,0,0,0,1
1701049,2018,1,0,0,30,31
1701049,2019,0,0,0,0,0
1701049,2020,0,0,0,0,0
1701049,2021,2,0,0,0,2
1701049,2022,3,0,0,0,3
1701049,2023,2,0,0,0,2
1701049,2024,1,0,0,0,1
1701049,2025,2,0,0,0,2
1701114,2000,12,2,0,60,74
1701114,2001,10,0,0,16,26
1701114,2002,7,0,0,42,49
1701114,2003,5,0,0,38,43
1701114,2004,23,0,0,16,39
1701114,2005,48,0,0,20,68
1701114,2006,11,0,0,92,103
1701114,2007,16,0,0,28,44
1701114,2008,4,0,0,0,4
1701114,2009,1,0,0,0,1
1701114,2010,4,0,0,0,4
1701114,2011,0,0,0,0,0
1701114,2012,37,0,0,0,37
1701114,2013,1,0,0,12,13
1701114,2014,1,0,0,0,1
1701114,2015,6,0,0,0,6
1701114,2016,2,0,0,0,2
1701114,2017,0,0,0,0,0
1701114,2018,1,0,0,0,1
1701114,2019,1,0,0,0,1
1701114,2020,0,0,0,0,0
1701114,2021,0,0,0,0,0
1701114,2022,0,0,0,0,0
1701114,2023,0,0,0,0,0
1701114,2024,0,0,40,0,40
1701114,2025,1,0,0,0,1
1701270,2000,5,0,0,0,5
1701270,2001,8,0,0,0,8
1701270,2002,4,0,0,0,4
1701270,2003,3,0,0,0,3
1701270,2004,4,0,0,0,4
1701270,2005,7,0,0,0,7
1701270,2006,1,0,4,0,5
1701270,2007,8,0,0,0,8
1701270,2008,2,0,0,0,2
1701270,2009,0,0,0,0,0
1701270,2010,1,0,0,0,1
1701270,2011,1,0,0,0,1
1701270,2012,0,0,0,0,0
1701270,2013,0,0,0,0,0
1701270,2014,0,0,0,0,0
1701270,2015,0,0,0,0,0
1701270,2016,0,0,0,0,0
1701270,2017,0,0,0,0,0
1701270,2018,0,0,0,0,0
1701270,2019,0,0,0,0,0
1701270,2020,1,0,0,0,1
1701270,2021,0,0,0,0,0
1701270,2022,0,0,0,0,0
1701270,2023,0,0,0,0,0
1701270,2024,0,0,0,0,0
1701270,2025,0,0,0,0,0
1701361,2000,1,0,0,0,1
1701361,2001,0,0,0,0,0
1701361,2002,0,0,0,0,0
1701361,2003,0,0,0,0,0
1701361,2004,1,0,0,0,1
1701361,2005,0,0,0,0,0
1701361,2006,0,0,0,0,0
1701361,2007,0,0,0,0,0
1701361,2008,0,0,0,0,0
1701361,2009,0,0,0,0,0
