geoid,lon,lat,county_fips,county_name
1700113,-90.40052,40.80279,095,Knox
1700178,-90.49693,40.42018,109,McDonough
1700191,-91.19921,39.86967,001,Adams
1700230,-89.48632,38.39115,189,Washington
1700243,-88.00955,41.93104,043,DuPage
1700295,-89.49192,42.14026,141,Ogle
1700516,-90.21351,41.78957,195,Whiteside
1700555,-89.61291,38.54131,027,Clinton
1700568,-88.063,38.37994,047,Edwards
1700594,-88.51924,42.45996,111,McHenry
1700646,-90.74217,41.19639,131,Mercer
1700659,-90.03653,39.72102,137,Morgan
1700672,-90.5565,41.06111,187,Warren
1700685,-88.32055,42.16301,111,McHenry
1700737,-89.73681,38.88825,119,Madison
1700815,-87.71054,38.52757,185,Wabash
1700867,-88.54118,39.55958,139,Moultrie
1700880,-87.93553,39.91789,183,Vermilion
1700919,-88.91191,38.72261,121,Marion
1700971,-90.37985,41.19222,073,Henry
1700997,-90.43275,39.55737,171,Scott
1701010,-87.74213,41.67192,031,Cook
1701049,-88.74911,39.06247,049,Effingham
1701114,-90.1606,38.89802,119,Madison
1701140,-90.16518,41.11449,095,Knox
1701205,-89.32006,37.57733,181,Union
1701242,-87.60712,40.30761,183,Vermilion
1701270,-89.40765,41.73394,103,Lee
1701361,-88.53968,40.56757,113,McLean
1701426,-90.72169,41.4395,161,Rock Island
1701491,-90.29072,41.29492,073,Henry
1701517,-87.88231,41.37176,197,Will
1701543,-89.23536,37.46316,181,Union
1701556,-87.81734,39.14284,033,Crawford
1701569,-89.89982,41.39959,073,Henry
1701595,-88.07998,42.47156,097,Lake
1701647,-90.16277,42.42718,085,Jo Daviess
1701673,-90.09376,42.5019,085,Jo Daviess
1701803,-87.84717,41.53534,197,Will
1701881,-88.30316,39.68407,041,Douglas
1701946,-90.3707,39.88045,017,Cass
1701972,-88.81936,39.98185,115,Macon
1702050,-88.93811,42.35758,007,Boone
1702102,-89.24261,41.47496,011,Bureau
1702154,-87.98781,42.09191,031,Cook
1702206,-89.316,40.33924,179,Tazewell
1702258,-87.78528,41.08292,091,Kankakee
1702342,-88.6319,40.44936,113,McLean
1702414,-88.4736,39.71389,139,Moultrie
1702479,-87.95467,40.8771,075,Iroquois
1702505,-90.00712,39.88788,017,Cass
1702531,-89.19101,38.3305,189,Washington
1702557,-88.02001,39.53045,029,Coles
1702583,-89.22398,41.87055,103,Lee
1702609,-89.04877,39.51747,021,Christian
1702635,-90.35612,40.22834,057,Fulton
1702674,-89.71844,39.96388,129,Menard
1702726,-90.00974,41.41276,073,Henry
1702752,-89.23332,40.26297,107,Logan
1702882,-88.46366,39.7991,041,Douglas
1702921,-89.74703,39.57675,167,Sangamon
1702986,-90.94982,40.23024,067,Hancock
1703012,-88.3434,41.76613,089,Kane
1703103,-89.49697,37.88679,077,Jackson
1703181,-89.6117,38.62436,027,Clinton
1703207,-90.43614,40.66058,057,Fulton
1703337,-89.59505,42.19554,141,Ogle
1703454,-89.84716,38.18268,157,Randolph
1703571,-89.91476,40.51055,057,Fulton
1703610,-87.86762,42.19322,097,Lake
1703675,-90.56461,40.49536,109,McDonough
1703844,-88.12576,42.14856,031,Cook
1703883,-88.19299,42.13805,031,Cook
1703948,-91.04104,39.70262,149,Pike
1703987,-90.35725,41.51555,161,Rock Island
1704000,-89.45935,38.54014,027,Clinton
1704013,-88.19834,41.97816,043,DuPage
1704039,-89.65422,40.63698,143,Peoria
1704052,-91.19926,40.32774,067,Hancock
1704078,-88.31992,41.84189,089,Kane
1704117,-90.65451,39.03587,013,Calhoun
1704156,-90.1433,40.18921,125,Mason
1704247,-90.90948,39.7292,149,Pike
1704273,-89.52819,40.80981,203,Woodford
1704303,-87.84073,42.42477,097,Lake
1704351,-90.40838,39.99345,017,Cass
1704403,-89.19293,40.1423,107,Logan
1704507,-87.65483,40.95321,075,Iroquois
1704533,-89.43556,38.60418,027,Clinton
1704572,-87.77195,41.76596,031,Cook
1704585,-87.61417,41.35165,197,Will
1704598,-88.7878,39.187,049,Effingham
1704689,-87.63057,40.05799,183,Vermilion
1704715,-88.94048,37.32229,087,Johnson
1704793,-88.55439,38.22323,065,Hamilton
1704806,-88.74052,38.23174,081,Jefferson
1704845,-89.9948,38.51778,163,St. Clair
1704871,-89.66844,40.68576,143,Peoria
1704897,-88.52427,40.34215,113,McLean
1704936,-87.91069,38.38288,185,Wabash
1704975,-87.87129,41.88145,031,Cook
1705092,-88.84591,42.25667,007,Boone
1705144,-88.57268,39.91976,147,Piatt
1705209,-89.80217,39.09499,117,Macoupin
1705248,-87.95025,41.96225,043,DuPage
1705261,-89.12101,40.84905,203,Woodford
1705274,-91.1124,40.34489,067,Hancock
1705300,-88.91559,37.99767,055,Franklin
1705404,-87.90816,41.88904,031,Cook
1705443,-89.90285,39.75947,167,Sangamon
1705573,-87.79117,41.85041,031,Cook
1705599,-90.04547,38.89673,119,Madison
1705612,-88.74168,39.64231,139,Moultrie
1705729,-90.98978,39.7939,001,Adams
1705859,-88.60103,42.49169,111,McHenry
1705898,-90.86204,40.85446,071,Henderson
1705976,-88.50585,41.77919,089,Kane
1706028,-89.2138,39.11191,051,Fayette
1706171,-90.11745,41.1999,073,Henry
1706184,-87.61191,40.25832,183,Vermilion
1706444,-89.12405,37.81176,199,Williamson
1706470,-90.86816,40.54941,109,McDonough
1706565,-91.30344,40.01865,001,Adams
1706587,-88.0886,41.94933,043,DuPage
1706613,-88.97665,40.47665,113,McLean
1706704,-87.67582,41.6531,031,Cook
1706756,-89.12141,39.69957,115,Macon
1706899,-90.53522,39.74956,171,Scott
1706964,-88.73605,38.32113,081,Jefferson
1707133,-88.10976,41.68067,197,Will
1707211,-88.37147,40.11136,019,Champaign
1707224,-87.99884,38.44416,047,Edwards
1707237,-88.05558,41.14442,091,Kankakee
1707263,-88.90718,38.20298,081,Jefferson
1707276,-88.03346,41.5991,197,Will
1707315,-89.04679,39.76518,115,Macon
1707419,-88.33453,41.71168,093,Kendall
1707471,-87.88107,41.18456,091,Kankakee
1707510,-91.06455,40.23588,067,Hancock
1707640,-88.22767,41.23342,197,Will
1707692,-89.65832,41.17514,175,Stark
1707744,-87.83578,41.17363,091,Kankakee
1707770,-88.2271,41.27089,197,Will
1707913,-89.52686,38.61927,027,Clinton
1708186,-87.75934,38.70902,101,Lawrence
1708225,-87.80912,41.74291,031,Cook
1708264,-90.14369,39.03938,117,Macoupin
1708303,-89.88659,40.83922,143,Peoria
1708420,-87.99749,39.90935,019,Champaign
1708446,-87.85521,41.85751,031,Cook
1708472,-89.4445,40.06844,107,Logan
1708524,-87.93365,39.71539,045,Edgar
1708576,-87.8466,41.8276,031,Cook
1708667,-90.16822,38.65545,163,St. Clair
1708706,-88.62882,37.1283,127,Massac
1708875,-88.46244,37.9347,065,Hamilton
1708953,-90.37246,40.1268,169,Schuyler
1708979,-87.98506,38.37888,047,Edwards
1708992,-88.95382,38.99635,051,Fayette
1709148,-90.59415,38.94958,013,Calhoun
1709161,-90.09318,40.46538,057,Fulton
1709304,-88.17559,41.04698,091,Kankakee
1709317,-88.03965,40.59719,075,Iroquois
1709330,-89.01642,37.98121,055,Franklin
1709356,-89.67891,41.32901,011,Bureau
1709434,-89.40914,39.84941,167,Sangamon
1709447,-87.96297,42.1671,097,Lake
1709499,-90.8455,41.34094,161,Rock Island
1709531,-88.3543,42.32565,111,McHenry
1709538,-89.42697,39.59144,021,Christian
1709551,-88.97491,37.4732,087,Johnson
1709577,-89.95186,39.04465,117,Macoupin
1709642,-87.77039,41.74291,031,Cook
1709681,-89.36521,41.28968,011,Bureau
1709759,-88.55765,42.02552,089,Kane
1709798,-87.54455,41.63806,031,Cook
1709889,-88.25839,38.25096,193,White
1709980,-87.91595,41.74689,043,DuPage
1710006,-91.24934,39.90761,001,Adams
1710045,-88.23047,42.27884,111,McHenry
1710084,-89.1283,37.84444,199,Williamson
1710110,-90.50065,40.55198,109,McDonough
1710149,-89.5321,39.1972,135,Montgomery
1710240,-89.26131,42.11977,141,Ogle
1710292,-88.20456,40.99375,053,Ford
1710305,-90.50534,41.28207,131,Mercer
1710373,-90.18657,38.56543,163,St. Clair
1710383,-89.1907,37.01893,003,Alexander
